Sex,Length,Diameter,Height,Whole_Weight,Older_12
NA,0.455,0.365,0.095,NA,1
M,0.35,0.265,0.09,0.2255,0
F,0.53,0.42,0.135,0.677,0
M,0.44,NA,0.125,NA,0
I,0.33,0.255,0.08,0.205,0
I,0.425,0.3,0.095,0.3515,0
F,0.53,0.415,0.15,0.7775,1
NA,NA,NA,0.125,NA,NA
M,0.475,0.37,0.125,0.5095,0
F,NA,0.44,NA,0.8945,NA
F,0.525,0.38,0.14,0.6065,1
M,NA,NA,0.11,0.406,0
M,0.49,0.38,0.135,0.5415,1
F,0.535,0.405,0.145,0.6845,0
F,0.47,0.355,0.1,0.4755,0
M,0.5,0.4,0.13,0.6645,1
I,NA,NA,0.085,0.2905,0
NA,NA,NA,0.1,NA,NA
M,0.365,0.295,0.08,0.2555,0
M,0.45,0.32,0.1,0.381,0
M,0.355,0.28,0.095,0.2455,1
I,0.38,0.275,0.1,0.2255,0
NA,NA,0.44,NA,NA,1
F,NA,0.415,NA,0.7635,NA
F,NA,0.48,NA,1.1615,NA
F,0.56,0.44,0.14,0.9285,1
F,NA,NA,0.185,0.9955,1
M,0.59,0.445,0.14,0.931,1
M,0.605,0.475,0.18,0.9365,1
M,NA,0.425,NA,0.8635,NA
M,0.58,NA,0.165,0.9975,NA
F,0.68,0.56,0.165,1.639,1
M,0.665,NA,0.165,NA,1
F,0.68,0.55,0.175,1.798,1
F,NA,0.55,NA,1.7095,NA
M,0.465,NA,0.105,NA,0
F,0.54,0.475,0.155,1.217,1
F,0.45,0.355,0.105,0.5225,0
F,0.575,0.445,0.135,0.883,1
NA,NA,0.29,NA,NA,0
F,0.45,0.335,0.105,0.425,0
NA,NA,NA,0.135,NA,NA
I,0.24,0.175,0.045,NA,NA
I,0.205,0.15,0.055,0.042,0
I,0.21,0.15,0.05,0.042,0
I,0.39,0.295,0.095,0.203,0
M,NA,NA,0.12,0.5795,0
F,0.46,NA,0.12,NA,0
I,0.325,0.245,0.07,0.161,0
F,0.525,0.425,0.16,0.8355,0
I,0.52,0.41,0.12,0.595,0
M,0.4,0.32,0.095,0.303,0
M,0.485,0.36,0.13,0.5415,0
F,0.47,0.36,0.12,0.4775,0
M,NA,0.31,NA,0.385,NA
F,0.5,0.4,0.14,0.6615,0
M,0.445,0.35,0.12,0.4425,0
M,0.47,0.385,0.135,0.5895,0
I,0.245,0.19,0.06,0.086,0
F,0.505,NA,0.125,NA,0
M,0.45,0.345,0.105,NA,NA
M,0.505,0.405,0.11,0.625,0
F,0.53,0.41,0.13,0.6965,0
M,0.425,NA,0.095,0.3785,NA
M,0.52,0.4,0.12,0.58,0
NA,NA,NA,0.12,NA,NA
F,0.565,0.44,0.16,NA,NA
F,0.595,NA,0.185,NA,1
F,0.475,0.39,0.12,0.5305,0
I,0.31,0.235,0.07,0.151,0
M,0.555,0.425,0.13,0.7665,1
F,0.4,0.32,0.11,0.353,0
F,0.595,0.475,0.17,1.247,1
NA,NA,0.48,NA,NA,1
F,NA,NA,0.195,1.098,1
F,0.6,0.475,0.15,1.0075,1
M,NA,NA,0.14,0.944,0
F,0.6,NA,0.15,0.922,NA
NA,NA,0.425,NA,NA,1
F,0.615,0.475,0.17,1.1025,1
F,NA,NA,0.14,0.941,0
M,0.62,NA,0.175,1.615,NA
F,NA,NA,0.165,0.9885,1
M,0.595,NA,0.16,1.3175,NA
M,NA,NA,0.14,1.013,1
F,NA,NA,0.18,1.295,1
M,0.625,0.465,0.14,1.195,1
M,0.56,NA,0.16,NA,0
F,NA,0.355,NA,0.517,NA
F,0.575,0.45,0.16,0.9775,1
M,NA,0.425,NA,0.8115,NA
NA,0.555,0.44,0.15,NA,1
M,0.595,0.465,0.175,NA,NA
F,0.625,NA,0.165,NA,0
M,NA,0.56,NA,1.494,NA
M,NA,NA,0.195,1.606,1
M,0.535,0.435,0.15,0.725,0
M,0.47,0.375,0.13,0.523,0
M,NA,NA,0.13,0.5225,0
F,0.475,0.375,0.125,0.5785,0
I,0.36,0.265,0.095,0.2315,0
M,0.55,0.435,0.145,0.843,1
NA,0.53,0.435,0.16,NA,1
M,0.53,0.415,0.14,NA,NA
M,0.605,0.47,0.16,1.1735,1
F,0.52,0.41,0.155,0.727,1
F,0.545,0.43,0.165,0.802,1
F,0.5,NA,0.125,0.6675,NA
F,0.51,0.39,0.135,0.6335,0
F,0.435,0.395,0.105,0.3635,0
M,0.495,0.395,0.125,NA,NA
M,0.465,0.36,0.105,0.431,0
I,0.435,0.32,0.08,0.3325,0
M,0.425,0.35,0.105,0.393,0
F,0.545,NA,0.125,0.6935,NA
F,0.53,0.415,0.115,0.5915,1
F,0.49,0.375,0.135,0.6125,1
M,0.44,0.34,0.105,0.402,0
F,0.56,0.43,0.15,0.8825,0
M,0.405,0.305,0.085,0.2605,0
NA,NA,0.365,NA,NA,0
I,0.385,0.295,0.085,0.2535,0
F,0.515,0.425,0.14,0.766,1
M,0.37,0.265,0.075,0.214,0
I,0.36,0.28,0.08,0.1755,0
I,0.27,0.195,0.06,0.073,0
I,0.375,0.275,0.09,0.238,0
I,0.385,0.29,0.085,0.2505,0
M,0.7,NA,0.16,1.7255,NA
M,0.71,NA,0.165,NA,1
NA,0.595,0.48,0.165,NA,1
F,0.44,0.35,0.125,0.4035,0
F,0.325,0.26,0.09,0.1915,0
I,0.35,NA,0.095,0.211,NA
I,NA,0.2,NA,0.0975,NA
F,0.425,0.33,0.115,0.406,0
F,0.305,0.23,0.08,0.156,0
M,0.345,0.255,0.09,0.2005,0
NA,0.405,0.325,0.11,NA,0
M,0.375,0.285,0.095,0.253,0
F,0.565,0.445,0.155,0.826,0
F,0.55,NA,0.145,NA,0
NA,NA,0.52,NA,NA,1
M,NA,NA,0.155,0.797,1
M,0.475,0.375,0.13,0.5175,0
NA,NA,NA,0.125,NA,NA
M,0.46,0.35,0.12,0.515,0
I,0.28,0.205,0.08,0.127,0
I,0.175,0.13,0.055,0.0315,0
I,0.17,NA,0.095,0.03,NA
NA,NA,0.475,NA,NA,1
F,0.605,NA,0.185,NA,0
NA,NA,0.515,NA,NA,0
F,0.605,NA,0.16,NA,0
NA,NA,0.45,NA,NA,1
M,0.515,0.405,0.13,0.722,0
F,0.575,0.46,0.19,NA,NA
NA,0.645,0.485,0.215,NA,1
F,0.58,0.455,0.17,0.9075,1
F,0.575,0.46,0.165,1.124,1
M,0.605,0.465,0.165,1.056,1
F,NA,0.485,NA,1.222,NA
NA,NA,NA,0.175,NA,NA
F,0.725,NA,0.21,NA,1
NA,0.65,0.545,0.23,NA,1
NA,NA,0.57,NA,NA,1
F,NA,0.575,NA,2.124,NA
NA,NA,NA,0.205,NA,NA
NA,NA,0.56,NA,NA,1
F,0.68,NA,0.175,NA,1
M,0.695,0.55,0.215,NA,NA
F,0.53,0.395,0.145,0.775,0
M,0.525,0.435,0.155,1.065,0
F,NA,0.405,NA,0.776,NA
I,0.235,NA,0.04,NA,0
I,0.36,0.26,0.09,0.1785,0
I,0.315,0.21,0.06,0.125,0
I,0.315,0.245,0.085,0.1435,0
I,0.225,0.16,0.045,0.0465,0
NA,0.58,0.475,0.15,NA,1
M,0.57,0.48,0.18,0.9395,1
NA,0.64,0.51,0.175,NA,1
